,right hip,,right knee,,left hip,,left knee
image?processing?mode,sensor?mode,image?processing?mode,sensor?mode,image?processing?mode,sensor?mode,image?processing?mode,sensor?mode
-10.75,4.3945,-10.61,2.2583,-8.7891,-3.6621,15.564,-6.5308
4.56,13.1836,4.83,10.1318,-3.6621,-16.5405,-6.5308,-17.8833
26.54,26.062,24.54,18.0664,-32.7759,-32.7759,-31.8604,-31.8604
60.08,41.687,60.43,40.7715,-52.7344,-41.1377,-53.6499,-37.6587
81.78,59.1431,88.2,61.2793,-64.1479,-52.7344,-48.584,-53.6499
105.81,75.9888,85.46,80.0781,-47.0581,-64.7583,-75.9277,-50.4761
108.48,82.0923,92.78,90.21,-49.6826,-64.1479,-53.5889,-48.584
76.67,90.5151,76.55,90.21,-42.4194,-54.5654,-12.5732,-62.0117
63.35,106.0791,62.98,84.6558,-39.1846,-47.0581,-13.9771,-75.9277
52.82,117.6147,56.43,89.1724,-41.2598,-45.5933,-2.3804,-72.2046
65.77,108.6426,45.88,93.0176,-44.8608,-49.6826,-25.0244,-53.5889
40.5,93.1396,30.76,90.8203,-46.3257,-47.9736,-30.7617,-36.438
15.12,74.9512,4.6,76.7822,-16.4795,-42.4194,-24.8413,-12.5732
-23.11,63.0493,-29.72,64.0869,5.0049,-38.5132,-33.9966,-7.2632
-73.88,63.0493,-55.38,60.9131,21.5454,-39.1846,-31.6772,-13.9771
-70.64,57.4341,-40.56,60.791,54.3213,-41.4429,-46.6309,-9.8267
-38.33,53.4058,-42.27,55.2368,86.0596,-41.2598,-57.9834,-2.3804
-33.75,63.5986,-42.91,50.5981,121.521,-40.7715,-50.0488,-11.6577
-27.42,63.9038,5.36,45.166,142.8833,-44.8608,-47.4854,-25.0244
-4.12,49.4385,-21.53,34.3018,118.103,-49.4385,-54.2603,-31.7993
-15.64,38.6963,-18.99,28.8696,112.3657,-46.3257,-42.5415,-30.7617
-58.24,27.8931,-27.7,18.7988,113.0981,-32.959,-31.9824,-28.1372
