,right hip,,right knee,,left hip,,left knee
image?processing?mode,sensor?mode,image?processing?mode,sensor?mode,image?processing?mode,sensor?mode,image?processing?mode,sensor?mode
28.3203,-41.8701,54.8706,-17.4561,-58.96,-24.7192,-39.978,-6.2866
47.4854,-40.2222,109.9854,-8.3618,-71.167,-24.5972,-70.6787,-6.2866
68.7256,-33.5083,110.6567,-5.9814,-41.9312,-23.3154,-61.2793,-5.7373
97.5342,-19.5313,91.4307,-15.1978,-41.3818,-20.752,-63.2324,-7.0801
104.0039,-7.3853,82.1533,-15.1367,-40.2222,-15.0757,-10.437,-7.5073
91.7969,-11.6577,68.3943,-15.4419,-19.5313,-9.3994,-8.3618,-6.4087
74.646,-31.189,48.7671,-24.0479,-11.6577,-3.9063,-15.1978,-3.2349
57.4951,-48.8281,42.2974,-33.6304,-48.8281,3.8452,-15.4419,-2.1362
44.0674,-48.2178,15.564,-35.2173,-34.668,10.1929,-33.6304,-5.4321
21.9727,-34.668,-1.5869,-32.1045,-26.1841,16.7847,-32.1045,3.7842
-2.0142,-26.4282,-22.3999,-32.6538,-35.3394,21.9116,-35.0342,11.0474
-30.2734,-26.1841,-39.978,-35.0342,-37.5366,28.3203,-36.1328,11.9019
-58.96,-30.3955,-70.6787,-35.3394,-30.3345,37.4756,-32.8979,32.1045
-71.167,-35.3394,-61.2793,-36.1328,-27.5879,47.4854,-31.4331,54.8706
-41.9312,-37.7197,-63.2324,-34.1797,-23.9258,57.312,-16.1743,78.2471
-41.3818,-37.5366,-10.437,-32.8979,-24.1699,68.7256,-9.0942,109.9854
-40.2222,-34.1187,-8.3618,-33.8135,-24.5972,86.731,-6.2866,117.6758
-19.5313,-30.3345,-15.1978,-31.4331,-20.752,97.5342,-7.0801,110.6567
-11.6577,-27.5879,-15.4419,-25.3296,-9.3994,101.9897,-6.4087,97.3511
-48.8281,-27.5879,-33.6304,-16.1743,3.8452,104.0039,-2.1362,91.4307
-34.668,-25.9399,-32.1045,-11.5967,16.7847,101.5625,3.7842,91.3086
-26.1841,-23.9258,-35.0342,-9.0942,28.3203,91.7969,11.9019,82.1533
-35.3394,-23.1934,-36.1328,-6.2866,47.4854,83.1909,54.8706,70.2515
-37.5366,-24.1699,-32.8979,-6.2866,68.7256,74.646,109.9854,68.3943
-30.3345,-24.7192,-31.4331,-5.7373,97.5342,64.4531,110.6567,53.6499
-27.5879,-24.5972,-16.1743,-7.0801,104.0039,57.4951,91.4307,48.7671
-23.9258,-23.3154,-9.0942,-7.5073,91.7969,49.8047,82.1533,44.9322
-24.1699,-20.752,-6.2866,-6.4087,74.646,44.0674,68.3943,42.2974
-24.5972,-15.0757,-7.0801,-3.2349,57.4951,33.2031,48.7671,30.6396
-20.752,-9.3994,-6.4087,-2.1362,44.0674,21.9727,42.2974,15.564
-9.3994,-3.9063,-2.1362,-5.4321,21.9727,10.9253,15.564,4.5493
,3.8452,,3.7842,,-2.0142,,-1.5869
,10.1929,,11.0474,,-16.1133,,-10.4343
,16.7847,,11.9019,,-30.2734,,-22.3999
,21.9116,,32.1045,,-44.2505,,-35.2487
,28.3203,,54.8706,,-58.96,,-39.978
,37.4756,,78.2471,,-70.1904,,-56.4575
,47.4854,,109.9854,,-71.167,,-70.6787
,57.312,,117.6758,,-56.2744,,-66.04
,68.7256,,110.6567,,-41.9312,,-61.2793
,86.731,,97.3511,,-39.3066,,-72.8149
,97.5342,,91.4307,,-41.3818,,-63.2324
,101.9897,,91.3086,,-41.8701,,-18.7988
,104.0039,,82.1533,,-40.2222,,-10.437
,101.5625,,70.2515,,-33.5083,,-17.4561
,91.7969,,68.3943,,-19.5313,,-8.3618
,83.1909,,53.6499,,-7.3853,,-5.9814
,74.646,,48.7671,,-11.6577,,-15.1978
,64.4531,,44.9322,,-31.189,,-15.1367
,57.4951,,42.2974,,-48.8281,,-15.4419
,49.8047,,30.6396,,-48.2178,,-24.0479
,44.0674,,15.564,,-34.668,,-33.6304
,33.2031,,4.5493,,-26.4282,,-35.2173
,21.9727,,-1.5869,,-26.1841,,-32.1045
,10.9253,,-10.4343,,-30.3955,,-32.6538
,-2.0142,,-22.3999,,-35.3394,,-35.0342
,-16.1133,,-35.2487,,-37.7197,,-35.3394
,-30.2734,,-39.978,,-37.5366,,-36.1328
,-44.2505,,-56.4575,,-34.1187,,-34.1797
,-58.96,,-70.6787,,-30.3345,,-32.8979
,-70.1904,,-66.04,,-27.5879,,-33.8135
,-71.167,,-61.2793,,-27.5879,,-31.4331
,-56.2744,,-72.8149,,-25.9399,,-25.3296
,-41.9312,,-63.2324,,-23.9258,,-16.1743
,-39.3066,,-18.7988,,-23.1934,,-11.5967
,-41.3818,,-10.437,,-24.1699,,-9.0942
,-41.8701,,-17.4561,,-24.7192,,-6.2866
,-40.2222,,-8.3618,,-24.5972,,-6.2866
,-33.5083,,-5.9814,,-23.3154,,-5.7373
,-19.5313,,-15.1978,,-20.752,,-7.0801
,-7.3853,,-15.1367,,-15.0757,,-7.5073
,-11.6577,,-15.4419,,-9.3994,,-6.4087
,-31.189,,-24.0479,,-3.9063,,-3.2349
